session_date,minute_of_session,usable_observation,bar_present,sigma_history_valid,prior_14_eligible_usable,band_warm
2008-02-14,360,True,True,True,14,True
2008-02-14,390,True,True,True,14,True
2008-02-15,30,True,True,True,14,True
2008-02-15,60,True,True,True,14,True
2008-02-15,90,True,True,True,14,True
2008-02-15,120,True,True,True,14,True
2008-02-15,150,True,True,True,14,True
2008-02-15,180,True,True,True,14,True
2008-02-15,210,True,True,True,14,True
2008-02-15,240,True,True,True,14,True
2008-02-15,270,True,True,True,14,True
2008-02-15,300,True,True,True,14,True
2008-02-15,330,True,True,True,14,True
2008-02-15,360,True,True,True,14,True
2008-02-15,390,True,True,True,14,True
2008-02-19,30,True,True,True,14,True
2008-02-19,60,True,True,True,14,True
2008-02-19,90,True,True,True,14,True
2008-02-19,120,True,True,True,14,True
2008-02-19,150,True,True,True,14,True
2008-02-19,180,True,True,True,14,True
2008-02-19,210,True,True,True,14,True
2008-02-19,240,True,True,True,14,True
2008-02-19,270,True,True,True,14,True
2008-02-19,300,True,True,True,14,True
2008-02-19,330,True,True,True,14,True
2008-02-19,360,True,True,True,14,True
2008-02-19,390,True,True,True,14,True
2008-02-20,30,True,True,True,14,True
2008-02-20,60,True,True,True,14,True
2008-02-20,90,True,True,True,14,True
2008-02-20,120,True,True,True,14,True
2008-02-20,150,True,True,True,14,True
2008-02-20,180,True,True,True,14,True
2008-02-20,210,True,True,True,14,True
2008-02-20,240,True,True,True,14,True
2008-02-20,270,True,True,True,14,True
2008-02-20,300,True,True,True,14,True
2008-02-20,330,True,True,True,14,True
2008-02-20,360,True,True,True,14,True
2008-02-20,390,True,True,True,14,True
2008-02-21,30,True,True,True,14,True
2008-02-21,60,True,True,True,14,True
2008-02-21,90,True,True,True,14,True
2008-02-21,120,True,True,True,14,True
2008-02-21,150,True,True,True,14,True
2008-02-21,180,True,True,True,14,True
2008-02-21,210,True,True,True,14,True
2008-02-21,240,True,True,True,14,True
2008-02-21,270,True,True,True,14,True
2008-02-21,300,True,True,True,14,True
2008-02-21,330,True,True,True,14,True
2008-02-21,360,True,True,True,14,True
2008-02-21,390,True,True,True,14,True
2008-02-22,30,True,True,True,14,True
2008-02-22,60,True,True,True,14,True
2008-02-22,90,True,True,True,14,True
2008-02-22,120,True,True,True,14,True
2008-02-22,150,True,True,True,14,True
2008-02-22,180,True,True,True,14,True
2008-02-22,210,True,True,True,14,True
2008-02-22,240,True,True,True,14,True
2008-02-22,270,True,True,True,14,True
2008-02-22,300,True,True,True,14,True
2008-02-22,330,True,True,True,14,True
2008-02-22,360,True,True,True,14,True
2008-02-22,390,True,True,True,14,True
2008-02-25,30,True,True,True,14,True
2008-02-25,60,True,True,True,14,True
2008-02-25,90,True,True,True,14,True
2008-02-25,120,True,True,True,14,True
2008-02-25,150,True,True,True,14,True
2008-02-25,180,True,True,True,14,True
2008-02-25,210,True,True,True,14,True
2008-02-25,240,True,True,True,14,True
2008-02-25,270,True,True,True,14,True
2008-02-25,300,True,True,True,14,True
2008-02-25,330,True,True,True,14,True
2008-02-25,360,True,True,True,14,True
2008-02-25,390,True,True,True,14,True
2008-02-26,30,True,True,True,14,True
2008-02-26,60,True,True,True,14,True
2008-02-26,90,True,True,True,14,True
2008-02-26,120,True,True,True,14,True
2008-02-26,150,True,True,True,14,True
2008-02-26,180,True,True,True,14,True
2008-02-26,210,True,True,True,14,True
2008-02-26,240,True,True,True,14,True
2008-02-26,270,True,True,True,14,True
2008-02-26,300,True,True,True,14,True
2008-02-26,330,True,True,True,14,True
2008-02-26,360,True,True,True,14,True
2008-02-26,390,True,True,True,14,True
2008-02-27,30,True,True,True,14,True
2008-02-27,60,True,True,True,14,True
2008-02-27,90,True,True,True,14,True
2008-02-27,120,True,True,True,14,True
2008-02-27,150,True,True,True,14,True
2008-02-27,180,True,True,True,14,True
2008-02-27,210,True,True,True,14,True
2008-02-27,240,True,True,True,14,True
2008-02-27,270,True,True,True,14,True
2008-02-27,300,True,True,True,14,True
2008-02-27,330,True,True,True,14,True
2008-02-27,360,True,True,True,14,True
2008-02-27,390,True,True,True,14,True
2008-02-28,30,True,True,True,14,True
2008-02-28,60,True,True,True,14,True
2008-02-28,90,True,True,True,14,True
2008-02-28,120,True,True,True,14,True
2008-02-28,150,True,True,True,14,True
2008-02-28,180,True,True,True,14,True
2008-02-28,210,True,True,True,14,True
2008-02-28,240,True,True,True,14,True
2008-02-28,270,True,True,True,14,True
2008-02-28,300,True,True,True,14,True
2008-02-28,330,True,True,True,14,True
2008-02-28,360,True,True,True,14,True
2008-02-28,390,True,True,True,14,True
2008-02-29,30,True,True,True,14,True
2008-02-29,60,True,True,True,14,True
2008-02-29,90,True,True,True,14,True
2008-02-29,120,True,True,True,14,True
2008-02-29,150,True,True,True,14,True
2008-02-29,180,True,True,True,14,True
2008-02-29,210,True,True,True,14,True
2008-02-29,240,True,True,True,14,True
2008-02-29,270,True,True,True,14,True
2008-02-29,300,True,True,True,14,True
2008-02-29,330,True,True,True,14,True
2008-02-29,360,True,True,True,14,True
2008-02-29,390,True,True,True,14,True
2008-03-03,30,True,True,True,14,True
2008-03-03,60,True,True,True,14,True
2008-03-03,90,True,True,True,14,True
2008-03-03,120,True,True,True,14,True
2008-03-03,150,True,True,True,14,True
2008-03-03,180,True,True,True,14,True
2008-03-03,210,True,True,True,14,True
2008-03-03,240,True,True,True,14,True
2008-03-03,270,True,True,True,14,True
2008-03-03,300,True,True,True,14,True
2008-03-03,330,True,True,True,14,True
2008-03-03,360,True,True,True,14,True
2008-03-03,390,True,True,True,14,True
