KEY,FREQ,REF_AREA,ADJUSTMENT,RT_ECON_CONCEPT,RT_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,UNIT_PRICE_BASE,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_DETAIL,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-01,1.210805238095238,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-02,1.242627,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-03,1.266737272727273,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-04,1.1062215,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-05,0.815034210526316,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-06,0.620712272727273,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-07,0.515327826086957,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-08,0.4245185,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-09,0.297949090909091,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-10,0.283082272727273,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-11,0.268140952380952,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2009-12,0.253046190476191,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-01,0.2501195,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-02,0.2505195,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-03,0.268424782608696,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-04,0.3116065,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-05,0.458514210526316,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-06,0.536898636363636,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-07,0.510327727272727,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-08,0.362546666666667,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-09,0.291365909090909,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-10,0.28884,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
RTD.M.S0.N.C_USL3M.U,M,S0,N,C_USL3M,U,2010-11,0.287120454545455,A,F,,,P1M,A,,,FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Monthly; series: DG",,4,,,"US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period",Euro area (moving concept in the Real Time database context) - Rate - 3-month Libor interbank US dolar deposit rate - US dollar,PCPA,0
