method,block_length_sessions,period,confidence_level,point,bootstrap_median,bootstrap_sd,ci_low,ci_high,probability_draw_le_zero,centered_one_sided_p_decline,centered_two_sided_p_difference
circular_moving_block,10,pre_minus_post,0.9,0.0006724065158210113,-0.003267505573248397,0.6300763448571043,-0.9897417919558315,1.0925128017860994,0.501125,0.497625,0.99875
circular_moving_block,10,pre_minus_post,0.95,0.0006724065158210113,-0.003267505573248397,0.6300763448571043,-1.159354225239766,1.3138105634983832,0.501125,0.497625,0.99875
circular_moving_block,20,pre_publication,0.9,0.9949436899771652,0.9974015082692459,0.23270837740138722,0.6071652589178267,1.3733688343873345,0.0,,
circular_moving_block,20,pre_publication,0.95,0.9949436899771652,0.9974015082692459,0.23270837740138722,0.5336062220846473,1.4437181260211966,0.0,,
circular_moving_block,20,post_publication,0.9,0.9942712834613442,0.9911438030054056,0.5790295431959678,0.00421823382883195,1.9205486393014213,0.04925,,
circular_moving_block,20,post_publication,0.95,0.9942712834613442,0.9911438030054056,0.5790295431959678,-0.19350044586303228,2.072614650611298,0.04925,,
circular_moving_block,20,pre_minus_post,0.9,0.0006724065158210113,0.0009491544478454905,0.6261847365887716,-1.012821105806476,1.056033397973855,0.499625,0.499875,0.9995
circular_moving_block,20,pre_minus_post,0.95,0.0006724065158210113,0.0009491544478454905,0.6261847365887716,-1.199636919380578,1.2661266782564204,0.499625,0.499875,0.9995
circular_moving_block,40,pre_publication,0.9,0.9949436899771652,1.0019158799316767,0.24374003056289328,0.5917581890327882,1.3920008405290027,0.0,,
circular_moving_block,40,pre_publication,0.95,0.9949436899771652,1.0019158799316767,0.24374003056289328,0.4996818429852035,1.4615743847612532,0.0,,
circular_moving_block,40,post_publication,0.9,0.9942712834613442,1.004168498282938,0.5663745577622515,0.03600773438132513,1.8991492770748706,0.044875,,
circular_moving_block,40,post_publication,0.95,0.9942712834613442,1.004168498282938,0.5663745577622515,-0.158587325696415,2.0685334562517412,0.044875,,
circular_moving_block,40,pre_minus_post,0.9,0.0006724065158210113,-0.002861928387251078,0.6189879846128149,-0.9898868942557776,1.0432773850987518,0.501625,0.497625,0.99925
circular_moving_block,40,pre_minus_post,0.95,0.0006724065158210113,-0.002861928387251078,0.6189879846128149,-1.1833674098554179,1.2543809823479266,0.501625,0.497625,0.99925
circular_moving_block,60,pre_publication,0.9,0.9949436899771652,0.999498848189849,0.24285829267458975,0.5862982164891822,1.3872596052911839,0.000125,,
circular_moving_block,60,pre_publication,0.95,0.9949436899771652,0.999498848189849,0.24285829267458975,0.5021093083675341,1.4558883733252044,0.000125,,
circular_moving_block,60,post_publication,0.9,0.9942712834613442,1.0193299617196931,0.5751303231219128,0.007585144022353959,1.8886441532582454,0.04925,,
circular_moving_block,60,post_publication,0.95,0.9942712834613442,1.0193299617196931,0.5751303231219128,-0.19042180294665875,2.055375668582103,0.04925,,
circular_moving_block,60,pre_minus_post,0.9,0.0006724065158210113,-0.018248155471567495,0.6248078770658263,-0.9839569997695772,1.0631753422530013,0.5145,0.484875,0.999375
circular_moving_block,60,pre_minus_post,0.95,0.0006724065158210113,-0.018248155471567495,0.6248078770658263,-1.1576153672100973,1.2820329836620115,0.5145,0.484875,0.999375
moving_block,1,pre_publication,0.9,0.9949436899771652,0.9986672472458964,0.2348614981446441,0.6062755530787519,1.3797882642623052,0.0,,
moving_block,1,pre_publication,0.95,0.9949436899771652,0.9986672472458964,0.2348614981446441,0.5381641527870331,1.4550294339348335,0.0,,
moving_block,1,post_publication,0.9,0.9942712834613442,1.0094455047625295,0.6257566476831548,-0.05709585870489711,1.9715935511624407,0.061375,,
moving_block,1,post_publication,0.95,0.9942712834613442,1.0094455047625295,0.6257566476831548,-0.2743891882356068,2.144832746986153,0.061375,,
moving_block,1,pre_minus_post,0.9,0.0006724065158210113,-0.00840822505343869,0.6672200604234896,-1.054086310820453,1.1284787235480602,0.505625,0.49375,0.999375
moving_block,1,pre_minus_post,0.95,0.0006724065158210113,-0.00840822505343869,0.6672200604234896,-1.2432700441759188,1.3395575431814446,0.505625,0.49375,0.999375
moving_block,5,pre_publication,0.9,0.9949436899771652,0.9977128619950355,0.2231902599154427,0.6231498978096272,1.3611935846508594,0.0,,
moving_block,5,pre_publication,0.95,0.9949436899771652,0.9977128619950355,0.2231902599154427,0.5493997141970784,1.422665401718918,0.0,,
moving_block,5,post_publication,0.9,0.9942712834613442,1.0040772760152374,0.5957395989962416,-0.011645434441577524,1.9317436243059156,0.0515,,
moving_block,5,post_publication,0.95,0.9942712834613442,1.0040772760152374,0.5957395989962416,-0.25011376436292615,2.110227446030128,0.0515,,
moving_block,5,pre_minus_post,0.9,0.0006724065158210113,0.00210361684363225,0.6345870862065046,-1.0087845312868768,1.0821746682970508,0.4985,0.500625,0.999125
moving_block,5,pre_minus_post,0.95,0.0006724065158210113,0.00210361684363225,0.6345870862065046,-1.2052975079532808,1.3081921349834158,0.4985,0.500625,0.999125
moving_block,10,pre_publication,0.9,0.9949436899771652,0.9889306240494457,0.22371018274530116,0.6239143616839364,1.3598820445614168,0.0,,
moving_block,10,pre_publication,0.95,0.9949436899771652,0.9889306240494457,0.22371018274530116,0.5551654445038002,1.4299676514561188,0.0,,
moving_block,10,post_publication,0.9,0.9942712834613442,1.0001380169706762,0.5982360473715581,-0.044788885404141,1.9298888026840817,0.057125,,
moving_block,10,post_publication,0.95,0.9942712834613442,1.0001380169706762,0.5982360473715581,-0.2505346628024678,2.1111728245081998,0.057125,,
moving_block,10,pre_minus_post,0.9,0.0006724065158210113,-0.010508856651987475,0.6375149519946777,-1.0106630895934676,1.0851263394040507,0.506125,0.493,0.999125
moving_block,10,pre_minus_post,0.95,0.0006724065158210113,-0.010508856651987475,0.6375149519946777,-1.2061846895324664,1.3131148871728349,0.506125,0.493,0.999125
moving_block,20,pre_publication,0.9,0.9949436899771652,0.9868256308108015,0.23637052097906083,0.5850846722354716,1.3676457526738395,0.0,,
moving_block,20,pre_publication,0.95,0.9949436899771652,0.9868256308108015,0.23637052097906083,0.4973312212600462,1.4363906185071686,0.0,,
moving_block,20,post_publication,0.9,0.9942712834613442,1.0442179200246593,0.5810851259700699,0.03846146616472824,1.9532881705039493,0.043875,,
moving_block,20,post_publication,0.95,0.9942712834613442,1.0442179200246593,0.5810851259700699,-0.1513819744875585,2.112404322606947,0.043875,,
moving_block,20,pre_minus_post,0.9,0.0006724065158210113,-0.051904132728874175,0.628037559461442,-1.0552748726978605,1.0183472195857646,0.5305,0.4685,0.999
moving_block,20,pre_minus_post,0.95,0.0006724065158210113,-0.051904132728874175,0.628037559461442,-1.2432674125357923,1.2202819746389433,0.5305,0.4685,0.999
moving_block,40,pre_publication,0.9,0.9949436899771652,0.9927529359920094,0.24166459943812063,0.5793586719027909,1.372421240404637,0.000375,,
moving_block,40,pre_publication,0.95,0.9949436899771652,0.9927529359920094,0.24166459943812063,0.5001008789436406,1.4500839747878667,0.000375,,
moving_block,40,post_publication,0.9,0.9942712834613442,0.999668650017804,0.5693877220705011,0.03932721574074664,1.9074238301333897,0.043375,,
moving_block,40,post_publication,0.95,0.9942712834613442,0.999668650017804,0.5693877220705011,-0.1550269544754556,2.0616946896573523,0.043375,,
moving_block,40,pre_minus_post,0.9,0.0006724065158210113,-0.008795329413805009,0.6213403536858049,-1.0155867304633475,1.0230911305364359,0.505625,0.493625,0.99925
moving_block,40,pre_minus_post,0.95,0.0006724065158210113,-0.008795329413805009,0.6213403536858049,-1.196969774866164,1.2447449500438243,0.505625,0.493625,0.99925
moving_block,60,pre_publication,0.9,0.9949436899771652,0.9863395379422599,0.24702505575955105,0.5661285362543896,1.385199843309907,0.0,,
moving_block,60,pre_publication,0.95,0.9949436899771652,0.9863395379422599,0.24702505575955105,0.4834310396766654,1.4652169127732344,0.0,,
moving_block,60,post_publication,0.9,0.9942712834613442,0.9119590580762997,0.5908058320185071,-0.07552539759063398,1.861009581281699,0.062375,,
moving_block,60,post_publication,0.95,0.9942712834613442,0.9119590580762997,0.5908058320185071,-0.28282613487456465,2.017964837056432,0.062375,,
moving_block,60,pre_minus_post,0.9,0.0006724065158210113,0.0632353297623387,0.6368005187665358,-0.948977665846129,1.134964731782741,0.457875,0.54075,0.998625
moving_block,60,pre_minus_post,0.95,0.0006724065158210113,0.0632353297623387,0.6368005187665358,-1.141288555370026,1.3340769834527153,0.457875,0.54075,0.998625
